Y, X, Best RMSE Model Name, Best MAE Model Name, New Model Best RMSE Value, New Model Best MAE Value, Old Model Best RMSE Value, Old Model Best MAE Value, Old RMSE better in, Old MAE Better in, Old RMSE and MAE Better in, Cumulative Accuracy RMSE, Cumulative Accuracy MAE
1, 1, LR, LR, 0.0, 0.0, 2.0891357259638683, 0.9534704034978692, 0, 0, 0, 100.0, 100.0
1, 2, LR, LR, 0.0, 0.0, 2.5256253747958803, 1.1359587977172203, 0, 0, 0, 100.0, 100.0
1, 3, LR, LR, 0.0, 0.0, 2.171695650181629, 1.2660118841355847, 0, 0, 0, 100.0, 100.0
1, 4, LR, LR, 0.0, 0.0, 2.066347037220381, 1.0649909361161012, 0, 0, 0, 100.0, 100.0
1, 5, LR, LR, 0.0, 0.0, 2.6371437631217765, 0.8181041081746421, 0, 0, 0, 100.0, 100.0
1, 6, LR, LR, 0.0, 0.0, 2.365270324070694, 1.103502604166667, 0, 0, 0, 100.0, 100.0
1, 7, LR, LR, 0.0, 0.0, 4.604560855181579, 1.500332341717847, 0, 0, 0, 100.0, 100.0
1, 8, LR, LR, 0.0, 0.0, 2.0862982771431287, 0.5809351961377641, 0, 0, 0, 100.0, 100.0
1, 9, LR, LR, 0.0, 0.0, 1.2188859555719376, 0.25593162601829594, 0, 0, 0, 100.0, 100.0
1, 10, LR, LR, 0.0, 0.0, 1.1751451021618808, 0.14295815448371732, 0, 0, 0, 100.0, 100.0
1, 11, LR, LR, 0.0, 0.0, 1.160540411141386, 0.07418947052537349, 0, 0, 0, 100.0, 100.0
1, 12, LR, LR, 0.0, 0.0, 0.6871119924679585, 0.11977803997877168, 0, 0, 0, 100.0, 100.0
1, 13, LR, LR, 0.0, 0.0, 2.3846715888722607, 0.0020317458917224213, 0, 0, 0, 100.0, 100.0
1, 14, LR, LR, 0.0, 0.0, 0.6161837445474587, 0.020017072921845968, 0, 0, 0, 100.0, 100.0
1, 15, LR, LR, 0.0, 0.0, 2.8155995410968253, 0.7819988674587673, 0, 0, 0, 100.0, 100.0
1, 16, LR, LR, 0.0, 0.0, 2.4725608717562304, 0.062105549706353076, 0, 0, 0, 100.0, 100.0
1, 17, LR, LR, 0.0, 0.0, 6.701928522260766, 1.4701770983244244, 0, 0, 0, 100.0, 100.0
1, 18, LR, LR, 0.0, 0.0, 11.359487720401251, 3.3009854580493685, 0, 0, 0, 100.0, 100.0
1, 19, LR, LR, 0.0, 0.0, 18.93731365232348, 4.85015869140625, 0, 0, 0, 100.0, 100.0
1, 20, LR, LR, 0.0, 0.0, 28.92944584691874, 7.4144111152167795, 0, 0, 0, 100.0, 100.0
1, 21, LR, LR, 0.0, 0.0, 244.21666709666823, 81.42424495045732, 0, 0, 0, 100.0, 100.0
